surah_number,ayah_number,arabic_text,abjad_value,english_translation,phonetic,tajweed_rules
1,1,"بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ",786,"In the name of Allah, the Most Gracious, the Most Merciful","Bismillah-ir-Rahman-ir-Raheem","Idgham,Qalqalah"
1,2,"الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ",541,"All praise is due to Allah, Lord of the worlds","Alhamdulillahi Rabbil Alameen","Madd,Ghunnah"
1,3,"الرَّحْمَٰنِ الرَّحِيمِ",618,"The Most Gracious, the Most Merciful","Ar-Rahman-ir-Raheem","Madd Lazim"
1,4,"مَالِكِ يَوْمِ الدِّينِ",136,"Master of the Day of Judgment","Maliki Yawm-id-Deen","Qalqalah,Ikhfa"
1,5,"إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ",549,"You alone we worship, and You alone we ask for help","Iyyaka na'budu wa iyyaka nasta'een","Idgham,Madd"
1,6,"اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ",683,"Guide us to the straight path","Ihdinas-siratal mustaqeem","Iqlab,Madd"
1,7,"صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ",2395,"The path of those You have blessed, not of those who have incurred Your wrath, nor of those who have gone astray","Siratal-lazeena an'amta alayhim ghayril-maghdoobi alayhim wa lad-dalleen","Ghunnah,Madd,Qalqalah"
2,1,"المْ",71,"Alif Lam Meem","Alif Lam Meem","Huruf Muqatta'at"
2,2,"ذَٰلِكَ الْكِتَابُ لَا رَيْبَ فِيهِ هُدًى لِلْمُتَّقِينَ",1046,"This is the Book in which there is no doubt, a guidance for the righteous","Zalikal-kitabu la rayba feehi hudan lil-muttaqeen","Madd,Ikhfa,Qalqalah"
2,3,"الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنْفِقُونَ",1742,"Who believe in the unseen, establish prayer, and spend out of what We have provided for them","Allazeena yu'minoona bil-ghaybi wa yuqeemoona as-salata wa mimma razaqnahum yunfiqoon","Ghunnah,Idgham,Madd"
112,1,"قُلْ هُوَ اللَّهُ أَحَدٌ",143,"Say: He is Allah, the One","Qul huwa Allahu ahad","Qalqalah,Madd"
112,2,"اللَّهُ الصَّمَدُ",165,"Allah, the Eternal, Absolute","Allah-us-Samad","Idgham,Madd"
112,3,"لَمْ يَلِدْ وَلَمْ يُولَدْ",154,"He begets not, nor is He begotten","Lam yalid wa lam yoolad","Qalqalah,Ikhfa"
112,4,"وَلَمْ يَكُنْ لَهُ كُفُوًا أَحَدٌ",217,"And there is none comparable to Him","Wa lam yakun lahu kufuwan ahad","Qalqalah,Tanween"
